img,node,cosine
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.0,0.998536
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.1,0.994289
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.2.cv1,0.986567
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.2.m.0,0.98655
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.2.cv2,0.981245
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.3,0.983929
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.4.cv1,0.97266
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.4.m.0,0.988785
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.4.m.1,0.99104
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.4.cv2,0.971443
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.5,0.969794
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.6.cv1,0.963596
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.6.m.0,0.981113
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.6.m.1,0.985338
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.6.cv2,0.967447
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.7,0.954129
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.8.cv1,0.948977
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.8.m.0,0.955083
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.8.cv2,0.944175
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.11,0.971991
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.12.cv1,0.978251
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.12.m.0,0.97341
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.12.cv2,0.972199
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.14,0.971535
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.15.cv1,0.990103
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.15.m.0,0.98861
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.15.cv2,0.986463
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.16,0.964626
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.17,0.968107
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.18.cv1,0.968171
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.18.m.0,0.974394
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.18.cv2,0.97946
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.19,0.963206
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.20,0.968327
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.21.cv1,0.962233
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.21.m.0,0.971372
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.21.cv2,0.965645
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv2.0.0,0.978438
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv2.0.1,0.983561
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv2.0.2,0.993262
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv3.0.0,0.953061
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv3.0.1,0.944065
