img,node,cosine
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.0,0.998536
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.1,0.994291
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.2.cv1,0.986486
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.2.m.0,0.986674
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.2.cv2,0.981059
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.3,0.983997
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.4.cv1,0.973759
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.4.m.0,0.988607
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.4.m.1,0.990896
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.4.cv2,0.971575
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.5,0.969309
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.6.cv1,0.963374
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.6.m.0,0.98122
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.6.m.1,0.98518
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.6.cv2,0.966811
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.7,0.951849
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.8.cv1,0.947005
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.8.m.0,0.952793
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.8.cv2,0.94158
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.11,0.970675
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.12.cv1,0.977485
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.12.m.0,0.970992
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.12.cv2,0.970417
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.14,0.970535
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.15.cv1,0.98954
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.15.m.0,0.987895
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.15.cv2,0.985403
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.16,0.962157
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.17,0.966154
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.18.cv1,0.96598
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.18.m.0,0.972456
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.18.cv2,0.977762
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.19,0.959375
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.20,0.965419
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.21.cv1,0.959671
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.21.m.0,0.971911
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.21.cv2,0.965449
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv2.0.0,0.976137
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv2.0.1,0.981616
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv2.0.2,0.992372
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv3.0.0,0.949371
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv3.0.1,0.937601
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv3.0.2,0.999373
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv2.1.0,0.970576
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv2.1.1,0.978647
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv2.1.2,0.992397
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv3.1.0,0.973515
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv3.1.1,0.974256
images89_jpg.rf.0bfa9777072aa98975eea6599bd81f0f.jpg,model.22.cv3.1.2,0.998667
