name,input_shape,output_shape,kernel,stride,padding,groups,M,N,K,macs,weights,bias,ifm_elements,ofm_elements,materialized_im2col_elements,is_dfl
model.0.conv,"[1, 3, 416, 416]","[1, 16, 208, 208]","[3, 3]","[2, 2]","[1, 1]",1,16,43264,27,18690048,432,0,519168,692224,1168128,False
model.1.conv,"[1, 16, 208, 208]","[1, 32, 104, 104]","[3, 3]","[2, 2]","[1, 1]",1,32,10816,144,49840128,4608,0,692224,346112,1557504,False
model.2.cv1.conv,"[1, 32, 104, 104]","[1, 32, 104, 104]","[1, 1]","[1, 1]","[0, 0]",1,32,10816,32,11075584,1024,0,346112,346112,346112,False
model.2.m.0.cv1.conv,"[1, 16, 104, 104]","[1, 16, 104, 104]","[3, 3]","[1, 1]","[1, 1]",1,16,10816,144,24920064,2304,0,173056,173056,1557504,False
model.2.m.0.cv2.conv,"[1, 16, 104, 104]","[1, 16, 104, 104]","[3, 3]","[1, 1]","[1, 1]",1,16,10816,144,24920064,2304,0,173056,173056,1557504,False
model.2.cv2.conv,"[1, 48, 104, 104]","[1, 32, 104, 104]","[1, 1]","[1, 1]","[0, 0]",1,32,10816,48,16613376,1536,0,519168,346112,519168,False
model.3.conv,"[1, 32, 104, 104]","[1, 64, 52, 52]","[3, 3]","[2, 2]","[1, 1]",1,64,2704,288,49840128,18432,0,346112,173056,778752,False
model.4.cv1.conv,"[1, 64, 52, 52]","[1, 64, 52, 52]","[1, 1]","[1, 1]","[0, 0]",1,64,2704,64,11075584,4096,0,173056,173056,173056,False
model.4.m.0.cv1.conv,"[1, 32, 52, 52]","[1, 32, 52, 52]","[3, 3]","[1, 1]","[1, 1]",1,32,2704,288,24920064,9216,0,86528,86528,778752,False
model.4.m.0.cv2.conv,"[1, 32, 52, 52]","[1, 32, 52, 52]","[3, 3]","[1, 1]","[1, 1]",1,32,2704,288,24920064,9216,0,86528,86528,778752,False
model.4.m.1.cv1.conv,"[1, 32, 52, 52]","[1, 32, 52, 52]","[3, 3]","[1, 1]","[1, 1]",1,32,2704,288,24920064,9216,0,86528,86528,778752,False
model.4.m.1.cv2.conv,"[1, 32, 52, 52]","[1, 32, 52, 52]","[3, 3]","[1, 1]","[1, 1]",1,32,2704,288,24920064,9216,0,86528,86528,778752,False
model.4.cv2.conv,"[1, 128, 52, 52]","[1, 64, 52, 52]","[1, 1]","[1, 1]","[0, 0]",1,64,2704,128,22151168,8192,0,346112,173056,346112,False
model.5.conv,"[1, 64, 52, 52]","[1, 128, 26, 26]","[3, 3]","[2, 2]","[1, 1]",1,128,676,576,49840128,73728,0,173056,86528,389376,False
model.6.cv1.conv,"[1, 128, 26, 26]","[1, 128, 26, 26]","[1, 1]","[1, 1]","[0, 0]",1,128,676,128,11075584,16384,0,86528,86528,86528,False
model.6.m.0.cv1.conv,"[1, 64, 26, 26]","[1, 64, 26, 26]","[3, 3]","[1, 1]","[1, 1]",1,64,676,576,24920064,36864,0,43264,43264,389376,False
model.6.m.0.cv2.conv,"[1, 64, 26, 26]","[1, 64, 26, 26]","[3, 3]","[1, 1]","[1, 1]",1,64,676,576,24920064,36864,0,43264,43264,389376,False
model.6.m.1.cv1.conv,"[1, 64, 26, 26]","[1, 64, 26, 26]","[3, 3]","[1, 1]","[1, 1]",1,64,676,576,24920064,36864,0,43264,43264,389376,False
model.6.m.1.cv2.conv,"[1, 64, 26, 26]","[1, 64, 26, 26]","[3, 3]","[1, 1]","[1, 1]",1,64,676,576,24920064,36864,0,43264,43264,389376,False
model.6.cv2.conv,"[1, 256, 26, 26]","[1, 128, 26, 26]","[1, 1]","[1, 1]","[0, 0]",1,128,676,256,22151168,32768,0,173056,86528,173056,False
model.7.conv,"[1, 128, 26, 26]","[1, 256, 13, 13]","[3, 3]","[2, 2]","[1, 1]",1,256,169,1152,49840128,294912,0,86528,43264,194688,False
model.8.cv1.conv,"[1, 256, 13, 13]","[1, 256, 13, 13]","[1, 1]","[1, 1]","[0, 0]",1,256,169,256,11075584,65536,0,43264,43264,43264,False
model.8.m.0.cv1.conv,"[1, 128, 13, 13]","[1, 128, 13, 13]","[3, 3]","[1, 1]","[1, 1]",1,128,169,1152,24920064,147456,0,21632,21632,194688,False
model.8.m.0.cv2.conv,"[1, 128, 13, 13]","[1, 128, 13, 13]","[3, 3]","[1, 1]","[1, 1]",1,128,169,1152,24920064,147456,0,21632,21632,194688,False
model.8.cv2.conv,"[1, 384, 13, 13]","[1, 256, 13, 13]","[1, 1]","[1, 1]","[0, 0]",1,256,169,384,16613376,98304,0,64896,43264,64896,False
model.9.cv1.conv,"[1, 256, 13, 13]","[1, 128, 13, 13]","[1, 1]","[1, 1]","[0, 0]",1,128,169,256,5537792,32768,0,43264,21632,43264,False
model.9.cv2.conv,"[1, 512, 13, 13]","[1, 256, 13, 13]","[1, 1]","[1, 1]","[0, 0]",1,256,169,512,22151168,131072,0,86528,43264,86528,False
model.12.cv1.conv,"[1, 384, 26, 26]","[1, 128, 26, 26]","[1, 1]","[1, 1]","[0, 0]",1,128,676,384,33226752,49152,0,259584,86528,259584,False
model.12.m.0.cv1.conv,"[1, 64, 26, 26]","[1, 64, 26, 26]","[3, 3]","[1, 1]","[1, 1]",1,64,676,576,24920064,36864,0,43264,43264,389376,False
model.12.m.0.cv2.conv,"[1, 64, 26, 26]","[1, 64, 26, 26]","[3, 3]","[1, 1]","[1, 1]",1,64,676,576,24920064,36864,0,43264,43264,389376,False
model.12.cv2.conv,"[1, 192, 26, 26]","[1, 128, 26, 26]","[1, 1]","[1, 1]","[0, 0]",1,128,676,192,16613376,24576,0,129792,86528,129792,False
model.15.cv1.conv,"[1, 192, 52, 52]","[1, 64, 52, 52]","[1, 1]","[1, 1]","[0, 0]",1,64,2704,192,33226752,12288,0,519168,173056,519168,False
model.15.m.0.cv1.conv,"[1, 32, 52, 52]","[1, 32, 52, 52]","[3, 3]","[1, 1]","[1, 1]",1,32,2704,288,24920064,9216,0,86528,86528,778752,False
model.15.m.0.cv2.conv,"[1, 32, 52, 52]","[1, 32, 52, 52]","[3, 3]","[1, 1]","[1, 1]",1,32,2704,288,24920064,9216,0,86528,86528,778752,False
model.15.cv2.conv,"[1, 96, 52, 52]","[1, 64, 52, 52]","[1, 1]","[1, 1]","[0, 0]",1,64,2704,96,16613376,6144,0,259584,173056,259584,False
model.16.conv,"[1, 64, 52, 52]","[1, 64, 26, 26]","[3, 3]","[2, 2]","[1, 1]",1,64,676,576,24920064,36864,0,173056,43264,389376,False
model.18.cv1.conv,"[1, 192, 26, 26]","[1, 128, 26, 26]","[1, 1]","[1, 1]","[0, 0]",1,128,676,192,16613376,24576,0,129792,86528,129792,False
model.18.m.0.cv1.conv,"[1, 64, 26, 26]","[1, 64, 26, 26]","[3, 3]","[1, 1]","[1, 1]",1,64,676,576,24920064,36864,0,43264,43264,389376,False
model.18.m.0.cv2.conv,"[1, 64, 26, 26]","[1, 64, 26, 26]","[3, 3]","[1, 1]","[1, 1]",1,64,676,576,24920064,36864,0,43264,43264,389376,False
model.18.cv2.conv,"[1, 192, 26, 26]","[1, 128, 26, 26]","[1, 1]","[1, 1]","[0, 0]",1,128,676,192,16613376,24576,0,129792,86528,129792,False
model.19.conv,"[1, 128, 26, 26]","[1, 128, 13, 13]","[3, 3]","[2, 2]","[1, 1]",1,128,169,1152,24920064,147456,0,86528,21632,194688,False
model.21.cv1.conv,"[1, 384, 13, 13]","[1, 256, 13, 13]","[1, 1]","[1, 1]","[0, 0]",1,256,169,384,16613376,98304,0,64896,43264,64896,False
model.21.m.0.cv1.conv,"[1, 128, 13, 13]","[1, 128, 13, 13]","[3, 3]","[1, 1]","[1, 1]",1,128,169,1152,24920064,147456,0,21632,21632,194688,False
model.21.m.0.cv2.conv,"[1, 128, 13, 13]","[1, 128, 13, 13]","[3, 3]","[1, 1]","[1, 1]",1,128,169,1152,24920064,147456,0,21632,21632,194688,False
model.21.cv2.conv,"[1, 384, 13, 13]","[1, 256, 13, 13]","[1, 1]","[1, 1]","[0, 0]",1,256,169,384,16613376,98304,0,64896,43264,64896,False
model.22.cv2.0.0.conv,"[1, 64, 52, 52]","[1, 64, 52, 52]","[3, 3]","[1, 1]","[1, 1]",1,64,2704,576,99680256,36864,0,173056,173056,1557504,False
model.22.cv2.0.1.conv,"[1, 64, 52, 52]","[1, 64, 52, 52]","[3, 3]","[1, 1]","[1, 1]",1,64,2704,576,99680256,36864,0,173056,173056,1557504,False
model.22.cv2.0.2,"[1, 64, 52, 52]","[1, 64, 52, 52]","[1, 1]","[1, 1]","[0, 0]",1,64,2704,64,11075584,4096,64,173056,173056,173056,False
model.22.cv2.1.0.conv,"[1, 128, 26, 26]","[1, 64, 26, 26]","[3, 3]","[1, 1]","[1, 1]",1,64,676,1152,49840128,73728,0,86528,43264,778752,False
model.22.cv2.1.1.conv,"[1, 64, 26, 26]","[1, 64, 26, 26]","[3, 3]","[1, 1]","[1, 1]",1,64,676,576,24920064,36864,0,43264,43264,389376,False
model.22.cv2.1.2,"[1, 64, 26, 26]","[1, 64, 26, 26]","[1, 1]","[1, 1]","[0, 0]",1,64,676,64,2768896,4096,64,43264,43264,43264,False
model.22.cv2.2.0.conv,"[1, 256, 13, 13]","[1, 64, 13, 13]","[3, 3]","[1, 1]","[1, 1]",1,64,169,2304,24920064,147456,0,43264,10816,389376,False
model.22.cv2.2.1.conv,"[1, 64, 13, 13]","[1, 64, 13, 13]","[3, 3]","[1, 1]","[1, 1]",1,64,169,576,6230016,36864,0,10816,10816,97344,False
