name,input_shape,output_shape,kernel,stride,padding,groups,M,N,K,macs,weights,bias,ifm_elements,ofm_elements,materialized_im2col_elements,is_dfl
model.0.conv,"[1, 3, 320, 320]","[1, 16, 160, 160]","[3, 3]","[2, 2]","[1, 1]",1,16,25600,27,11059200,432,0,307200,409600,691200,False
model.1.conv,"[1, 16, 160, 160]","[1, 32, 80, 80]","[3, 3]","[2, 2]","[1, 1]",1,32,6400,144,29491200,4608,0,409600,204800,921600,False
model.2.cv1.conv,"[1, 32, 80, 80]","[1, 32, 80, 80]","[1, 1]","[1, 1]","[0, 0]",1,32,6400,32,6553600,1024,0,204800,204800,204800,False
model.2.m.0.cv1.conv,"[1, 16, 80, 80]","[1, 16, 80, 80]","[3, 3]","[1, 1]","[1, 1]",1,16,6400,144,14745600,2304,0,102400,102400,921600,False
model.2.m.0.cv2.conv,"[1, 16, 80, 80]","[1, 16, 80, 80]","[3, 3]","[1, 1]","[1, 1]",1,16,6400,144,14745600,2304,0,102400,102400,921600,False
model.2.cv2.conv,"[1, 48, 80, 80]","[1, 32, 80, 80]","[1, 1]","[1, 1]","[0, 0]",1,32,6400,48,9830400,1536,0,307200,204800,307200,False
model.3.conv,"[1, 32, 80, 80]","[1, 64, 40, 40]","[3, 3]","[2, 2]","[1, 1]",1,64,1600,288,29491200,18432,0,204800,102400,460800,False
model.4.cv1.conv,"[1, 64, 40, 40]","[1, 64, 40, 40]","[1, 1]","[1, 1]","[0, 0]",1,64,1600,64,6553600,4096,0,102400,102400,102400,False
model.4.m.0.cv1.conv,"[1, 32, 40, 40]","[1, 32, 40, 40]","[3, 3]","[1, 1]","[1, 1]",1,32,1600,288,14745600,9216,0,51200,51200,460800,False
model.4.m.0.cv2.conv,"[1, 32, 40, 40]","[1, 32, 40, 40]","[3, 3]","[1, 1]","[1, 1]",1,32,1600,288,14745600,9216,0,51200,51200,460800,False
model.4.m.1.cv1.conv,"[1, 32, 40, 40]","[1, 32, 40, 40]","[3, 3]","[1, 1]","[1, 1]",1,32,1600,288,14745600,9216,0,51200,51200,460800,False
