name,input_shape,output_shape,kernel,stride,padding,groups,M,N,K,macs,weights,bias,ifm_elements,ofm_elements,materialized_im2col_elements,is_dfl
model.0.conv,"[1, 3, 256, 256]","[1, 16, 128, 128]","[3, 3]","[2, 2]","[1, 1]",1,16,16384,27,7077888,432,0,196608,262144,442368,False
model.1.conv,"[1, 16, 128, 128]","[1, 32, 64, 64]","[3, 3]","[2, 2]","[1, 1]",1,32,4096,144,18874368,4608,0,262144,131072,589824,False
model.2.cv1.conv,"[1, 32, 64, 64]","[1, 32, 64, 64]","[1, 1]","[1, 1]","[0, 0]",1,32,4096,32,4194304,1024,0,131072,131072,131072,False
model.2.m.0.cv1.conv,"[1, 16, 64, 64]","[1, 16, 64, 64]","[3, 3]","[1, 1]","[1, 1]",1,16,4096,144,9437184,2304,0,65536,65536,589824,False
model.2.m.0.cv2.conv,"[1, 16, 64, 64]","[1, 16, 64, 64]","[3, 3]","[1, 1]","[1, 1]",1,16,4096,144,9437184,2304,0,65536,65536,589824,False
model.2.cv2.conv,"[1, 48, 64, 64]","[1, 32, 64, 64]","[1, 1]","[1, 1]","[0, 0]",1,32,4096,48,6291456,1536,0,196608,131072,196608,False
model.3.conv,"[1, 32, 64, 64]","[1, 64, 32, 32]","[3, 3]","[2, 2]","[1, 1]",1,64,1024,288,18874368,18432,0,131072,65536,294912,False
model.4.cv1.conv,"[1, 64, 32, 32]","[1, 64, 32, 32]","[1, 1]","[1, 1]","[0, 0]",1,64,1024,64,4194304,4096,0,65536,65536,65536,False
model.4.m.0.cv1.conv,"[1, 32, 32, 32]","[1, 32, 32, 32]","[3, 3]","[1, 1]","[1, 1]",1,32,1024,288,9437184,9216,0,32768,32768,294912,False
model.4.m.0.cv2.conv,"[1, 32, 32, 32]","[1, 32, 32, 32]","[3, 3]","[1, 1]","[1, 1]",1,32,1024,288,9437184,9216,0,32768,32768,294912,False
model.4.m.1.cv1.conv,"[1, 32, 32, 32]","[1, 32, 32, 32]","[3, 3]","[1, 1]","[1, 1]",1,32,1024,288,9437184,9216,0,32768,32768,294912,False
model.4.m.1.cv2.conv,"[1, 32, 32, 32]","[1, 32, 32, 32]","[3, 3]","[1, 1]","[1, 1]",1,32,1024,288,9437184,9216,0,32768,32768,294912,False
model.4.cv2.conv,"[1, 128, 32, 32]","[1, 64, 32, 32]","[1, 1]","[1, 1]","[0, 0]",1,64,1024,128,8388608,8192,0,131072,65536,131072,False
